"data_id","age","comprehension","production","language","form","birth_order","ethnicity","sex","zygosity","norming","mom_ed","longitudinal","source_name","license","is_first"
129415,17,17,17,"English (American)","WS","Second","Hispanic","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129416,23,145,145,"English (American)","WS","Second","Other","Male",NA,TRUE,"College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129417,21,86,86,"English (American)","WS","Third","White","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129418,21,151,151,"English (American)","WS","Third","Other","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129419,21,160,160,"English (American)","WS","Second","Other","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129420,27,584,584,"English (American)","WS","Third","Other","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129421,26,466,466,"English (American)","WS","Third","Other","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129422,24,148,148,"English (American)","WS","Second","Other","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129423,20,219,219,"English (American)","WS","Third","White","Female",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129424,28,540,540,"English (American)","WS","Fourth","Hispanic","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129425,23,160,160,"English (American)","WS","Fourth","Black","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129426,20,23,23,"English (American)","WS","Third","Other","Male",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129427,26,247,247,"English (American)","WS","Second","White","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129428,30,117,117,"English (American)","WS","Third","Hispanic","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129429,28,387,387,"English (American)","WS","Sixth","White","Female",NA,TRUE,"Some Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129430,29,375,375,"English (American)","WS","Fourth","Black","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129431,25,564,564,"English (American)","WS","Fourth","Other","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129432,27,300,300,"English (American)","WS","Sixth","White","Male",NA,TRUE,"Some College",FALSE,"Marchman (Norming)","CC-BY",FALSE
129433,19,111,111,"English (American)","WS","Second","Other","Female",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
129434,25,178,178,"English (American)","WS","Second","Other","Male",NA,TRUE,"Secondary",FALSE,"Marchman (Norming)","CC-BY",FALSE
