,Country,Region,Happiness Score,Log GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Perceptions of Corruption,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,year
888,Sri Lanka,Southern Asia,4.415,0.97318,0.84783,0.62007,0.50817,0.46978,0.07964,,,,,,,2016
889,India,Southern Asia,4.404,0.74036,0.29247,0.45091,0.40285,0.25028,0.08722,,,,,,,2016
890,Myanmar,Southeastern Asia,4.395,0.34112,0.69981,0.3988,0.42692,0.81971,0.20243,,,,,,,2016
891,Egypt,Middle East and Northern Africa,4.362,0.95395,0.49813,0.5211600000000001,0.18847,0.12705999999999998,0.10393,,,,,,,2016
892,Armenia,Central and Eastern Europe,4.36,0.8608600000000001,0.6247699999999999,0.64083,0.14037,0.07793,0.036160000000000005,,,,,,,2016
893,Kenya,Sub-Saharan Africa,4.356,0.52267,0.7624,0.30147,0.40576,0.41328,0.06686,,,,,,,2016
894,Ukraine,Central and Eastern Europe,4.324,0.87287,1.01413,0.58628,0.12859,0.20363,0.01829,,,,,,,2016
895,Ghana,Sub-Saharan Africa,4.276,0.63107,0.49353,0.29681,0.40973,0.21203,0.0326,,,,,,,2016
896,Congo (Kinshasa),Sub-Saharan Africa,4.272,0.05661,0.80676,0.188,0.15602,0.25458000000000003,0.06075,,,,,,,2016
897,Georgia,Central and Eastern Europe,4.252,0.8379200000000001,0.19249,0.64035,0.32461,0.06786,0.3188,,,,,,,2016
898,Congo (Brazzaville),Sub-Saharan Africa,4.2360000000000015,0.7710899999999999,0.47799,0.28212,0.37938,0.12077,0.09753,,,,,,,2016
899,Senegal,Sub-Saharan Africa,4.2189999999999985,0.44314,0.7741600000000001,0.40457,0.31056,0.19103,0.11681,,,,,,,2016
900,Bulgaria,Central and Eastern Europe,4.217,1.11306,0.92542,0.67806,0.21219,0.12793,0.00615,,,,,,,2016
901,Mauritania,Sub-Saharan Africa,4.2010000000000005,0.6139100000000001,0.8414200000000001,0.28639000000000003,0.1268,0.22686,0.17955,,,,,,,2016
902,Zimbabwe,Sub-Saharan Africa,4.1930000000000005,0.35041,0.71478,0.1595,0.25429,0.18503,0.08582000000000001,,,,,,,2016
903,Malawi,Sub-Saharan Africa,4.1560000000000015,0.08709,0.147,0.29364,0.4143,0.30968,0.07564,,,,,,,2016
904,Sudan,Sub-Saharan Africa,4.1389999999999985,0.63069,0.8192799999999999,0.29759,0,0.18077,0.10039,,,,,,,2016
905,Gabon,Sub-Saharan Africa,4.121,1.15851,0.72368,0.3494,0.28098,0.06244,0.09314,,,,,,,2016
906,Mali,Sub-Saharan Africa,4.073,0.31292,0.8633299999999999,0.16347,0.27544,0.21064,0.13647,,,,,,,2016
907,Haiti,Latin America and Caribbean,4.0280000000000005,0.34097,0.29561,0.27494,0.12072,0.47958,0.14476,,,,,,,2016
908,Botswana,Sub-Saharan Africa,3.974,1.09426,0.89186,0.34752,0.44089,0.12425,0.10769,,,,,,,2016
909,Comoros,Sub-Saharan Africa,3.956,0.27509,0.60323,0.29981,0.15412,0.1827,0.18437,,,,,,,2016
