Country,Region,Happiness Score,Log GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Perceptions of Corruption,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
Bangladesh,South Asia,5.025,8.454,0.693,64.8,0.877,-0.040999999999999995,0.682,0.635,0.52,0.514,0.603,0.161,0.16399999999999998
Guinea,Sub-Saharan Africa,4.984,7.837999999999999,0.639,55.008,0.6970000000000001,0.095,0.7659999999999999,0.42,0.39899999999999997,0.20600000000000002,0.384,0.25,0.111
South Africa,Sub-Saharan Africa,4.956,9.402999999999999,0.86,56.903999999999996,0.7490000000000001,-0.067,0.86,0.9670000000000001,0.895,0.265,0.447,0.14400000000000002,0.051
Turkey,Middle East and North Africa,4.948,10.24,0.8220000000000001,67.199,0.5760000000000001,-0.139,0.7759999999999999,1.26,0.809,0.59,0.23600000000000002,0.09699999999999999,0.10400000000000001
Pakistan,South Asia,4.934,8.458,0.6509999999999999,58.708999999999996,0.726,0.098,0.787,0.637,0.423,0.322,0.418,0.252,0.09699999999999999
Morocco,Middle East and North Africa,4.918,8.902999999999999,0.56,66.208,0.774,-0.23600000000000002,0.8009999999999999,0.792,0.21899999999999997,0.5579999999999999,0.47700000000000004,0.034,0.08800000000000001
Venezuela,Latin America and Caribbean,4.8919999999999995,9.073,0.861,66.7,0.615,-0.16899999999999998,0.8270000000000001,0.852,0.897,0.574,0.284,0.078,0.07200000000000001
Georgia,Commonwealth of Independent States,4.891,9.585,0.6709999999999999,64.3,0.7829999999999999,-0.23800000000000002,0.655,1.03,0.47,0.498,0.488,0.032,0.18100000000000002
Algeria,Middle East and North Africa,4.887,9.342,0.802,66.005,0.48,-0.067,0.752,0.946,0.765,0.552,0.11900000000000001,0.14400000000000002,0.12
Ukraine,Commonwealth of Independent States,4.875,9.436,0.888,64.902,0.7240000000000001,-0.011000000000000001,0.924,0.9790000000000001,0.958,0.517,0.41700000000000004,0.18100000000000002,0.01
Iraq,Middle East and North Africa,4.854,9.24,0.746,60.583,0.63,-0.053,0.875,0.91,0.638,0.381,0.302,0.153,0.040999999999999995
Gabon,Sub-Saharan Africa,4.852,9.603,0.7759999999999999,59.961999999999996,0.731,-0.2,0.84,1.037,0.7070000000000001,0.36200000000000004,0.424,0.057999999999999996,0.064
Burkina Faso,Sub-Saharan Africa,4.834,7.678,0.672,54.151,0.695,-0.009000000000000001,0.748,0.364,0.47200000000000003,0.179,0.381,0.182,0.122
Cambodia,Southeast Asia,4.83,8.36,0.765,62,0.9590000000000001,0.034,0.843,0.603,0.68,0.426,0.7020000000000001,0.21,0.061
Mozambique,Sub-Saharan Africa,4.794,7.1579999999999995,0.7440000000000001,54.706,0.882,0.061,0.684,0.183,0.634,0.196,0.608,0.228,0.163
Nigeria,Sub-Saharan Africa,4.7589999999999995,8.533,0.74,50.102,0.737,0.037000000000000005,0.878,0.6629999999999999,0.625,0.051,0.433,0.212,0.039
Mali,Sub-Saharan Africa,4.723,7.744,0.7240000000000001,51.968999999999994,0.6970000000000001,-0.036000000000000004,0.8270000000000001,0.387,0.59,0.11,0.384,0.16399999999999998,0.07200000000000001
Iran,Middle East and North Africa,4.721,9.584,0.71,66.3,0.608,0.218,0.7140000000000001,1.03,0.557,0.561,0.275,0.33,0.14400000000000002
Uganda,Sub-Saharan Africa,4.636,7.6770000000000005,0.7809999999999999,56.101000000000006,0.7090000000000001,0.122,0.855,0.364,0.718,0.24,0.39799999999999996,0.267,0.054000000000000006
Liberia,Sub-Saharan Africa,4.625,7.287999999999999,0.72,56.498000000000005,0.735,0.05,0.85,0.228,0.58,0.253,0.43,0.221,0.057
Kenya,Sub-Saharan Africa,4.607,8.361,0.688,60.70399999999999,0.779,0.287,0.825,0.603,0.508,0.385,0.483,0.375,0.073
Tunisia,Middle East and North Africa,4.596,9.266,0.691,67.20100000000001,0.6559999999999999,-0.201,0.87,0.919,0.515,0.59,0.33399999999999996,0.057,0.044000000000000004
Lebanon,Middle East and North Africa,4.584,9.626,0.848,67.355,0.525,-0.073,0.898,1.045,0.868,0.595,0.175,0.14,0.026000000000000002
Namibia,Sub-Saharan Africa,4.574,9.161,0.818,56.799,0.7190000000000001,-0.149,0.847,0.882,0.8009999999999999,0.262,0.41100000000000003,0.091,0.059000000000000004
Palestinian Territories,Middle East and North Africa,4.5169999999999995,8.485,0.826,62.25,0.653,-0.163,0.821,0.6459999999999999,0.8190000000000001,0.434,0.33,0.08199999999999999,0.075
Myanmar,Southeast Asia,4.426,8.541,0.779,59.302,0.8759999999999999,0.509,0.66,0.6659999999999999,0.713,0.341,0.601,0.52,0.17800000000000002
Jordan,Middle East and North Africa,4.395,9.182,0.767,67,0.755,-0.16699999999999998,0.705,0.89,0.685,0.583,0.455,0.079,0.15
Chad,Sub-Saharan Africa,4.355,7.364,0.619,48.478,0.579,0.040999999999999995,0.807,0.255,0.353,0,0.24,0.215,0.084
Sri Lanka,South Asia,4.325,9.47,0.8270000000000001,67.29899999999999,0.841,0.079,0.863,0.99,0.82,0.593,0.5589999999999999,0.239,0.049
Swaziland,Sub-Saharan Africa,4.308,9.065,0.77,50.833,0.647,-0.185,0.708,0.8490000000000001,0.693,0.07400000000000001,0.32299999999999995,0.067,0.147
Comoros,Sub-Saharan Africa,4.289,8.031,0.626,57.349,0.5479999999999999,0.08199999999999999,0.7809999999999999,0.488,0.36700000000000005,0.27899999999999997,0.20199999999999999,0.24100000000000002,0.10099999999999999
Egypt,Middle East and North Africa,4.283,9.367,0.75,61.998000000000005,0.7490000000000001,-0.182,0.795,0.9540000000000001,0.647,0.426,0.446,0.069,0.092
Ethiopia,Sub-Saharan Africa,4.275,7.694,0.764,59,0.752,0.08199999999999999,0.7609999999999999,0.37,0.679,0.331,0.451,0.24100000000000002,0.114
Mauritania,Sub-Saharan Africa,4.227,8.542,0.795,57.161,0.561,-0.106,0.731,0.6659999999999999,0.7490000000000001,0.273,0.218,0.11900000000000001,0.133
Madagascar,Sub-Saharan Africa,4.208,7.396,0.6859999999999999,59.305,0.552,-0.005,0.8029999999999999,0.266,0.503,0.341,0.207,0.185,0.087
Togo,Sub-Saharan Africa,4.107,7.362,0.569,54.913999999999994,0.619,0.032,0.772,0.254,0.239,0.203,0.289,0.209,0.107
Zambia,Sub-Saharan Africa,4.073,8.145,0.708,55.809,0.782,0.061,0.823,0.528,0.552,0.231,0.48700000000000004,0.22699999999999998,0.07400000000000001
Sierra Leone,Sub-Saharan Africa,3.8489999999999998,7.434,0.63,51.651,0.7170000000000001,0.084,0.866,0.27899999999999997,0.377,0.1,0.408,0.243,0.047
India,South Asia,3.819,8.755,0.603,60.633,0.893,0.08900000000000001,0.774,0.741,0.316,0.38299999999999995,0.622,0.24600000000000002,0.106
Burundi,Sub-Saharan Africa,3.775,6.635,0.49,53.4,0.626,-0.024,0.607,0,0.062,0.155,0.298,0.172,0.212
Yemen,Middle East and North Africa,3.658,7.577999999999999,0.8320000000000001,57.122,0.602,-0.147,0.8,0.32899999999999996,0.831,0.272,0.268,0.092,0.08900000000000001
Tanzania,Sub-Saharan Africa,3.623,7.876,0.7020000000000001,57.998999999999995,0.833,0.183,0.5770000000000001,0.433,0.54,0.3,0.5489999999999999,0.307,0.231
Haiti,Latin America and Caribbean,3.615,7.477,0.54,55.7,0.593,0.42200000000000004,0.721,0.294,0.17300000000000001,0.22699999999999998,0.257,0.46299999999999997,0.139
Malawi,Sub-Saharan Africa,3.6,6.957999999999999,0.537,57.948,0.78,0.038,0.7290000000000001,0.113,0.168,0.298,0.484,0.213,0.134
Lesotho,Sub-Saharan Africa,3.512,7.926,0.787,48.7,0.715,-0.131,0.915,0.451,0.731,0.006999999999999999,0.405,0.10300000000000001,0.015
Botswana,Sub-Saharan Africa,3.467,9.782,0.784,59.269,0.8240000000000001,-0.24600000000000002,0.8009999999999999,1.099,0.7240000000000001,0.34,0.539,0.027000000000000003,0.08800000000000001
Rwanda,Sub-Saharan Africa,3.415,7.676,0.552,61.4,0.897,0.061,0.16699999999999998,0.364,0.20199999999999999,0.40700000000000003,0.627,0.22699999999999998,0.493
Zimbabwe,Sub-Saharan Africa,3.145,7.943,0.75,56.201,0.677,-0.047,0.821,0.457,0.649,0.243,0.359,0.157,0.075
Afghanistan,South Asia,2.523,7.695,0.46299999999999997,52.493,0.382,-0.102,0.924,0.37,0,0.126,0,0.122,0.01
